geography,geography_name,date,cpih_annual_rate
K02000001,United Kingdom,1989,5.7
K02000001,United Kingdom,1990,8.0
K02000001,United Kingdom,1991,7.5
K02000001,United Kingdom,1992,4.6
K02000001,United Kingdom,1993,2.6
K02000001,United Kingdom,1994,2.2
K02000001,United Kingdom,1995,2.7
K02000001,United Kingdom,1996,2.9
K02000001,United Kingdom,1997,2.2
K02000001,United Kingdom,1998,1.8
K02000001,United Kingdom,1999,1.7
K02000001,United Kingdom,2000,1.2
K02000001,United Kingdom,2001,1.6
K02000001,United Kingdom,2002,1.5
K02000001,United Kingdom,2003,1.4
K02000001,United Kingdom,2004,1.4
K02000001,United Kingdom,2005,2.1
K02000001,United Kingdom,2006,2.5
K02000001,United Kingdom,2007,2.4
K02000001,United Kingdom,2008,3.5
K02000001,United Kingdom,2009,2.0
K02000001,United Kingdom,2010,2.5
K02000001,United Kingdom,2011,3.8
K02000001,United Kingdom,2012,2.6
K02000001,United Kingdom,2013,2.3
K02000001,United Kingdom,2014,1.5
K02000001,United Kingdom,2015,0.4
K02000001,United Kingdom,2016,1.0
K02000001,United Kingdom,2017,2.6
K02000001,United Kingdom,2018,2.3
K02000001,United Kingdom,2019,1.7
K02000001,United Kingdom,2020,1.0
K02000001,United Kingdom,2021,2.5
K02000001,United Kingdom,2022,7.9
K02000001,United Kingdom,1989-Q1,5.8
K02000001,United Kingdom,1989-Q2,5.8
K02000001,United Kingdom,1989-Q3,5.6
K02000001,United Kingdom,1989-Q4,5.7
K02000001,United Kingdom,1990-Q1,6.1
K02000001,United Kingdom,1990-Q2,8.0
K02000001,United Kingdom,1990-Q3,8.8
K02000001,United Kingdom,1990-Q4,9.2
K02000001,United Kingdom,1991-Q1,8.4
K02000001,United Kingdom,1991-Q2,7.7
K02000001,United Kingdom,1991-Q3,7.3
K02000001,United Kingdom,1991-Q4,6.5
K02000001,United Kingdom,1992-Q1,6.3
K02000001,United Kingdom,1992-Q2,5.0
K02000001,United Kingdom,1992-Q3,4.0
K02000001,United Kingdom,1992-Q4,3.3
K02000001,United Kingdom,1993-Q1,3.1
K02000001,United Kingdom,1993-Q2,2.3
